id_barang,berat,nilai_barang
BRG00001,17.26,109753
BRG00002,13.21,99982
BRG00003,8.57,437287
BRG00004,15.99,343799
BRG00005,10.26,324152
BRG00006,7.33,460060
BRG00007,4.21,88169
BRG00008,5.92,307392
BRG00009,12.19,305340
BRG00010,18.0,155941
BRG00011,11.3,365567
BRG00012,18.86,476048
BRG00013,3.81,22370
BRG00014,15.25,98554
BRG00015,5.43,495501
BRG00016,16.93,171886
BRG00017,7.26,29087
BRG00018,4.75,433141
BRG00019,12.3,23830
BRG00020,17.59,314924
BRG00021,19.33,307825
BRG00022,9.57,193998
BRG00023,2.25,415708
BRG00024,8.76,69829
BRG00025,12.78,84313
BRG00026,5.63,284024
BRG00027,3.01,90984
BRG00028,6.51,158896
BRG00029,8.68,124573
BRG00030,16.83,348394
BRG00031,12.31,232349
BRG00032,17.47,174858
BRG00033,15.03,334850
BRG00034,3.65,457921
BRG00035,19.91,122400
BRG00036,11.54,396723
BRG00037,4.51,144917
BRG00038,1.07,65608
BRG00039,14.16,448531
BRG00040,4.06,392810
BRG00041,16.27,268773
BRG00042,14.36,90813
BRG00043,0.5,199908
BRG00044,3.7,25715
BRG00045,18.54,420383
BRG00046,15.55,303131
BRG00047,12.37,119707
BRG00048,17.89,260030
BRG00049,6.06,321680
BRG00050,18.84,164506
BRG00051,10.71,26091
BRG00052,3.01,402281
BRG00053,0.68,412701
BRG00054,14.02,73963
BRG00055,3.55,310630
BRG00056,13.14,468983
BRG00057,4.48,116183
BRG00058,13.0,242765
BRG00059,15.12,22238
BRG00060,10.07,277220
BRG00061,18.22,54812
BRG00062,10.28,216753
BRG00063,16.63,37452
BRG00064,13.4,414368
BRG00065,6.19,58904
BRG00066,4.08,42054
BRG00067,11.97,236351
BRG00068,16.57,116421
BRG00069,14.52,44208
BRG00070,0.63,111172
BRG00071,2.14,158991
BRG00072,0.15,165762
BRG00073,11.81,252569
BRG00074,4.53,280944
BRG00075,17.3,208187
BRG00076,15.48,284056
BRG00077,0.12,67543
BRG00078,11.71,271748
BRG00079,12.06,471107
BRG00080,16.1,187753
BRG00081,18.13,349476
BRG00082,1.39,488798
BRG00083,3.38,87536
BRG00084,18.16,152235
BRG00085,4.02,395888
BRG00086,3.86,66988
BRG00087,14.64,261851
BRG00088,6.53,478134
BRG00089,3.93,386749
BRG00090,4.82,169744
BRG00091,7.89,69810
BRG00092,11.97,370064
BRG00093,3.55,453517
BRG00094,18.42,215462
BRG00095,7.32,191074
BRG00096,14.27,178502
BRG00097,7.76,177750
BRG00098,5.55,327359
BRG00099,1.61,106769
BRG00100,1.95,210449
BRG00101,17.78,272741
BRG00102,9.26,419230
BRG00103,7.19,218125
BRG00104,16.53,257389
BRG00105,6.43,454476
BRG00106,4.1,223803
BRG00107,8.13,299526
BRG00108,6.54,219216
BRG00109,6.66,282344
BRG00110,4.23,218685
BRG00111,12.5,197011
BRG00112,5.9,211962
BRG00113,15.18,267869
BRG00114,19.29,337461
BRG00115,18.79,204916
BRG00116,10.43,1846
BRG00117,2.18,300750
BRG00118,8.22,199784
BRG00119,9.36,336957
BRG00120,5.56,228090
BRG00121,12.99,431886
BRG00122,8.5,496379
BRG00123,9.19,396582
BRG00124,16.28,331755
BRG00125,14.68,213357
BRG00126,7.22,176038
BRG00127,19.53,393521
BRG00128,10.28,40686
BRG00129,6.69,6673
BRG00130,6.6,207979
BRG00131,2.31,113413
BRG00132,8.83,287917
BRG00133,4.89,104346
BRG00134,14.22,357398
BRG00135,12.34,354134
BRG00136,4.1,346343
BRG00137,11.34,495666
BRG00138,16.3,289717
BRG00139,10.38,405837
BRG00140,8.23,216978
BRG00141,18.8,59806
BRG00142,0.53,309392
BRG00143,8.92,468801
BRG00144,11.99,85505
BRG00145,14.97,225658
BRG00146,2.45,2097
BRG00147,12.82,239942
BRG00148,5.35,104590
BRG00149,19.69,165453
BRG00150,16.02,134142
BRG00151,6.57,362968
BRG00152,14.97,251097
BRG00153,14.51,69350
BRG00154,8.11,449589
BRG00155,8.08,357968
BRG00156,2.46,238948
BRG00157,13.51,495942
BRG00158,4.16,111105
BRG00159,3.28,299975
BRG00160,14.4,340594
BRG00161,8.62,193010
BRG00162,16.08,114951
BRG00163,18.4,36246
BRG00164,13.82,455853
BRG00165,4.01,418456
BRG00166,18.99,251659
BRG00167,8.48,292626
BRG00168,3.17,103622
BRG00169,8.65,222549
BRG00170,7.1,299047
BRG00171,1.51,266493
BRG00172,12.06,478374
BRG00173,6.15,440252
BRG00174,7.72,375863
BRG00175,17.48,103851
BRG00176,16.19,336538
BRG00177,9.84,192762
BRG00178,0.62,478357
BRG00179,12.4,314512
BRG00180,0.35,293355
BRG00181,0.54,243223
BRG00182,11.36,122535
BRG00183,17.6,231092
BRG00184,12.47,214810
BRG00185,3.0,389141
BRG00186,4.81,258841
BRG00187,17.82,186446
BRG00188,2.59,347887
BRG00189,4.95,217052
BRG00190,8.96,120188
BRG00191,10.42,13943
BRG00192,14.09,353582
BRG00193,10.95,241531
BRG00194,10.02,489217
BRG00195,3.48,99678
BRG00196,0.63,225508
BRG00197,10.94,308868
BRG00198,11.7,152887
BRG00199,13.24,360730
BRG00200,5.14,289420
BRG00201,14.79,187896
BRG00202,13.38,271944
BRG00203,10.0,394068
BRG00204,19.85,262951
BRG00205,8.71,479721
BRG00206,10.47,254344
BRG00207,5.18,452612
BRG00208,13.86,284684
BRG00209,5.81,229667
BRG00210,15.6,204846
BRG00211,0.33,277317
BRG00212,8.72,228319
BRG00213,11.13,136916
BRG00214,19.79,136100
BRG00215,16.84,57772
BRG00216,0.98,437716
BRG00217,13.29,237361
BRG00218,1.03,464308
BRG00219,8.84,211552
BRG00220,12.86,128488
BRG00221,6.36,340980
BRG00222,13.36,178516
BRG00223,14.84,56549
BRG00224,16.86,215184
BRG00225,12.63,247244
BRG00226,17.66,132340
BRG00227,19.45,31468
BRG00228,12.82,164100
BRG00229,15.18,392749
BRG00230,5.62,147297
BRG00231,8.64,391287
BRG00232,11.01,311296
BRG00233,18.54,252789
BRG00234,8.48,260273
BRG00235,3.03,217002
BRG00236,10.05,235224
BRG00237,11.29,495495
BRG00238,7.52,42943
BRG00239,13.19,168763
BRG00240,11.5,461884
BRG00241,1.38,196359
BRG00242,18.51,140235
BRG00243,1.21,406339
BRG00244,12.53,98823
BRG00245,0.76,493203
BRG00246,5.97,328978
BRG00247,14.09,157758
BRG00248,11.38,124019
BRG00249,0.52,301439
BRG00250,12.17,463311
BRG00251,4.61,499564
BRG00252,4.01,76223
BRG00253,12.92,303353
BRG00254,14.24,144289
BRG00255,9.8,134613
BRG00256,11.52,406118
BRG00257,13.8,329527
BRG00258,3.25,259361
BRG00259,4.9,340217
BRG00260,17.19,182475
BRG00261,16.44,123883
BRG00262,15.75,331520
BRG00263,3.73,87086
BRG00264,16.43,173246
BRG00265,13.86,252426
BRG00266,3.07,488752
BRG00267,6.06,411233
BRG00268,13.51,300991
BRG00269,12.08,461840
BRG00270,1.88,482322
BRG00271,9.35,389007
BRG00272,19.49,378416
BRG00273,16.03,421789
BRG00274,10.86,147764
BRG00275,11.79,298792
BRG00276,10.23,475873
BRG00277,16.48,241834
BRG00278,0.37,379639
BRG00279,5.61,235990
BRG00280,2.0,78971
BRG00281,1.67,427618
BRG00282,6.83,382354
BRG00283,4.56,89469
BRG00284,7.54,365482
BRG00285,15.98,54527
BRG00286,0.18,302299
BRG00287,2.74,445442
BRG00288,15.81,487084
BRG00289,15.7,337199
BRG00290,3.08,411812
BRG00291,9.31,294703
BRG00292,18.67,113991
BRG00293,12.49,321135
BRG00294,8.06,462485
BRG00295,0.61,40093
BRG00296,14.07,334653
BRG00297,12.17,165444
BRG00298,18.32,341749
BRG00299,2.62,350202
BRG00300,0.52,380444
BRG00301,3.1,85362
BRG00302,8.31,165745
BRG00303,19.03,46547
BRG00304,16.25,287621
BRG00305,13.08,323023
BRG00306,13.15,476792
BRG00307,1.71,6919
BRG00308,2.52,436255
BRG00309,0.15,68683
BRG00310,7.53,306702
BRG00311,15.54,265026
BRG00312,8.26,442075
BRG00313,2.38,429693
BRG00314,8.49,330797
BRG00315,7.77,82351
BRG00316,8.08,119784
BRG00317,1.22,321061
BRG00318,13.13,17762
BRG00319,3.91,222321
BRG00320,2.0,470046
BRG00321,6.02,89828
BRG00322,2.76,426794
BRG00323,10.92,220226
BRG00324,0.17,309671
BRG00325,6.12,261007
BRG00326,16.73,94024
BRG00327,7.26,425882
BRG00328,1.62,178246
BRG00329,15.28,104839
BRG00330,12.69,274853
BRG00331,0.95,327946
BRG00332,11.1,199453
BRG00333,4.85,196846
BRG00334,10.7,19306
BRG00335,15.47,326260
BRG00336,11.78,123750
BRG00337,7.47,451280
BRG00338,7.49,109475
BRG00339,18.14,147677
BRG00340,1.34,200153
BRG00341,17.67,148816
BRG00342,3.81,339593
BRG00343,3.26,435067
BRG00344,16.51,163711
BRG00345,13.16,169001
BRG00346,7.86,369228
BRG00347,13.33,80175
BRG00348,16.41,2437
BRG00349,13.94,160342
BRG00350,17.37,211221
BRG00351,11.52,279067
BRG00352,7.23,399316
BRG00353,6.42,237054
BRG00354,13.63,302608
BRG00355,8.74,314751
BRG00356,6.93,452325
BRG00357,7.96,116665
BRG00358,9.98,302338
BRG00359,2.24,86651
BRG00360,6.72,425358
BRG00361,8.57,122656
BRG00362,8.71,468730
BRG00363,4.18,31536
BRG00364,8.25,116550
BRG00365,2.27,164274
BRG00366,15.82,177388
BRG00367,14.1,311832
BRG00368,16.68,55717
BRG00369,12.52,213648
BRG00370,5.59,289954
BRG00371,4.88,95145
BRG00372,12.18,288825
BRG00373,2.89,472244
BRG00374,16.98,296728
BRG00375,4.35,288435
BRG00376,8.1,247362
BRG00377,10.37,486058
BRG00378,6.2,195598
